907$a,998$a,998$d
.b195980244,mai,h  
.b195980256,mai,h  
.b195980268,mai,h  
.b19598027x,mai,h  
.b195980281,mai,h  
.b195980293,mai,h  
.b19598030x,mai,h  
.b195980311,mai,h  
.b195980323,mai,h  
.b195980335,mai,h  
.b195980359,mai,h  
.b195980360,mai,h  
.b195980372,mai,h  
.b195980384,mai,h  
.b195980396,mai,h  
.b195980402,mai,h  
.b195980414,mai,h  
.b195980426,mai,h  
.b195980438,mai,h  
.b19598044x,mai,h  
.b195980451,mai,h  
.b195980463,mai,h  
.b195980475,mai,h  
.b195980487,mai@ia,h  
.b195980499,mai,h  
.b195980505,mai,h  
.b195980517,mai,h  
.b195980529,mai,h  
.b195980530,mai,h  
.b195980542,mai,h  
.b195980554,mai,h  
.b195980566,mai,h  
.b195980578,mai,h  
.b19598058x,mai,h  
.b195980591,mai,h  
.b195980608,mai,h  
.b19598061x,mai,h  
.b195980621,mai,h  
.b195980633,mai,h  
.b195980645,mai,h  
.b195980657,mai,h  
.b195980669,mai,h  
.b195980670,mai,h  
.b195980682,mai,h  
.b195980694,mai,h  
.b195980700,mai,h  
.b195980712,mai,h  
.b195980724,mai,h  
.b195980736,mai,h  
.b195980748,mai,h  
.b19598075x,mai,h  
.b195980761,mai,h  
.b195980773,mai,h  
.b195980785,mai,h  
.b195980797,mai,h  
.b195980803,mai,h  
.b195980815,mai,h  
.b195980827,mai,h  
.b195980839,mai,h  
.b195980840,mai,h  
.b195980852,mai,h  
.b195980864,mai,h  
.b195980876,mai,h  
.b195980888,mai,h  
.b19598089x,mai,h  
.b195980906,mai,h  
.b195980918,mai,h  
.b19598092x,mai,h  
.b195980931,mai,h  
.b195980943,mai,h  
.b195980955,mai,h  
.b195980967,mai,h  
.b195980979,mai,h  
.b195980980,mai,h  
.b195980992,mai,h  
.b195981005,mai,h  
.b195981017,mai,h  
.b195981029,mai,h  
.b195981030,mai,h  
.b195981042,mai,h  
.b195981054,mai,h  
.b195981066,mai,h  
.b195981078,mai,h  
