,RECORD #(BIBLIO),Class cutter?,New 852,Main entry,,001,Old 852(s),,,,,
1022,b161923252,,BV315.B65 2005,,,60965333,JMD 06-97,,,,,
0291,b163427525,,BV350.R44 F3 2004,Reeves,TRUE,57054483,JMD 06-858,,,,,
0579,b12107156x,,BV380.S73 1993,,,NYPG96-B2705,JME 95-610,,,,,
0610,b124438222,,GR101.A54 1996,,,34046325,"*R-USLHG GR101 .A54 1996;""*R-RMRR GR101 .A54 1996"";""JNF 96-204""",,,,,
0426,b116568665,,GR37.B37 1986,,,NYPG93-B2474,JNF 92-361,,,,,
0991,b160426893,,KF2995.C57 2004,,,54929688,JMF 05-159,,,,,
0213,b109553676,,KF3035.A48 C6 1984,Althouse,,NYPG85-B58806,JMD 85-354,,,,,
0155,b107989098,,KF3035.E74 1983,,,NYPG83-B48764,JND 83-40,,,,,
0622,b125108771,,KF3035.K64 1996,"Kohn, A",,33359857,"JNE 96-112 [Printed work];""*WMC 251 [Computer disk]"";""JBE 02-439 [Printed work]"";""*WSE-344 [Computer disk]""",,,,,
0246,b146420305,,KF3035.K64 1997,"Kohn,A",TRUE,39389449,"JML 00-14 [Printed work] Library has: 1997-;""*WMC-1832 [CD-ROM] Library has: 1997-""",,,,,
0304,b166913546,,KF3035.W4 2007,Wentz,TRUE,154226430,JNF 08-21,,,,,
1206,b198103657,,KF390.E57 S87 2012,,,775415913,JND 13-8,,,,,
1111,b173534806,,KF4291.A926 2008,,,179829917,JME 10-512,,,,,
1215,b199803481,,KF4291.L43 2013,,,845085766,JNE 14-35,,,,,
1107,b168662723,,M134.C4 V35 2003,,,66238407,JMF 08-1288,,,,,
1076,b165305198,,M134.C4 V35 2006,,,122574207,JMF 07-802,,,,,
0022,b104292234,,M1497.C8 1971,Cutts,TRUE,NYPG774585243-C,JMF 76-828,,,,,
0395,b115217988,,M1619.5.S52 M9 1991,,,NYPG92-C489,JMF 92-60,,,,,
0299,b165018781,,M1627.B75 N3 2006,Bristow,TRUE,76960453,JMF 07-1303,,,,,
0275,b158618555,,M1627.H36 E6 2003,Hang,TRUE,53809575,JMF 04-9,,,,,
0200,b132833943,,M1627.R44 N3 1997,Reed,TRUE,37258720,JMF 97-577,,,,,
